match,win0,confidence0,PSW,date
1884,0,1.284348462820053,1.85,2021-08-27
1776,0,1.281173512339592,2.42,2021-08-16
1797,1,1.2455535918474196,1.65,2021-08-18
1766,1,1.2455535918474196,1.65,2021-08-13
1802,1,1.2455535918474196,1.65,2021-08-18
1759,1,1.227160613536835,1.61,2021-08-12
1775,0,1.2083445304632188,2.42,2021-08-16
1883,1,1.2070920348167418,2.36,2021-08-27
1812,1,1.2011172652244568,1.65,2021-08-19
1803,0,1.198435515165329,2.18,2021-08-18
1769,0,1.198435515165329,2.21,2021-08-14
1777,1,1.1927807807922364,1.6,2021-08-16
1799,0,1.1918936514854432,2.47,2021-08-18
1765,1,1.1915873122215273,1.74,2021-08-13
1790,1,1.1915873122215273,1.74,2021-08-18
1800,0,1.1915873122215273,2.22,2021-08-18
1818,1,1.1840978622436524,1.44,2021-08-20
1767,1,1.1816503512859344,1.42,2021-08-13
1874,1,1.1720230102539062,1.6,2021-08-25
1770,0,1.166303504705429,2.9,2021-08-14
1879,0,1.1644984483718872,2.2,2021-08-26
1758,1,1.1580891329050063,1.43,2021-08-12
1866,1,1.157844171524048,1.74,2021-08-25
1768,0,1.1528823280334473,2.32,2021-08-14
1861,1,1.1514630782604218,1.46,2021-08-24
1786,0,1.1510959362983706,2.52,2021-08-17
1826,0,1.1419085294008253,3.05,2021-08-21
1872,0,1.135268409848213,3.05,2021-08-25
1823,0,1.1352480387687682,3.09,2021-08-21
1875,1,1.1280721473693849,1.54,2021-08-26
1747,1,1.1225830936431884,1.44,2021-08-11
1817,1,1.1225830936431884,1.44,2021-08-19
1862,1,1.120378246307373,1.68,2021-08-24
1755,1,1.1197877883911134,1.6,2021-08-12
1789,0,1.1176662302017213,3.38,2021-08-17
1778,1,1.1158956050872801,1.76,2021-08-16
1848,1,1.1151697540283203,1.36,2021-08-23
1822,0,1.1057904410362245,2.56,2021-08-20
1815,1,1.0881672352552414,2.07,2021-08-19
1754,1,1.0881672352552414,2.07,2021-08-12
1869,0,1.085526341199875,2.57,2021-08-25
1781,1,1.0853823244571685,1.35,2021-08-17
1801,0,1.085020017027855,2.24,2021-08-18
1787,1,1.085020017027855,1.71,2021-08-17
1805,1,1.085020017027855,1.71,2021-08-18
1873,0,1.07531596660614,1.94,2021-08-25
1753,1,1.0708306670188903,1.4,2021-08-11
1876,0,1.0678099536895753,2.9,2021-08-26
1784,0,1.0656836122274398,1.85,2021-08-17
1870,1,1.0646901631355286,1.57,2021-08-25
1744,0,1.063181876540184,3.28,2021-08-11
1886,1,1.0596704763174059,1.31,2021-08-27
1882,0,1.0588570487499236,1.98,2021-08-26
1752,1,1.0587087696790696,1.27,2021-08-11
1785,0,1.0587087696790696,4.1,2021-08-17
1842,1,1.0564954578876495,1.25,2021-08-23
1792,0,1.0555330860614776,3.32,2021-08-18
1868,1,1.052992477416992,1.28,2021-08-25
1807,1,1.0517821556329727,1.31,2021-08-18
1885,1,1.0514121651649475,1.5,2021-08-27
1860,1,1.0501018577814103,1.23,2021-08-24
1881,1,1.0495510965585708,1.71,2021-08-26
1871,1,1.044765973687172,1.27,2021-08-25
1819,1,1.0415217185020447,1.88,2021-08-20
1783,1,1.0415217185020447,1.88,2021-08-17
1887,0,1.0365394699573518,4.4,2021-08-27
1743,1,1.0352425456047056,1.24,2021-08-11
1863,0,1.0345591163635253,3.36,2021-08-24
1816,1,1.0309102630615234,1.28,2021-08-19
1757,1,1.0267706310749052,2.09,2021-08-12
1798,0,1.0218578529357911,1.84,2021-08-18
1749,0,1.0185450851917266,4.92,2021-08-11
