WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,Comment,PSW,PSL
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Kasatkina D.,Wang Q.,72,34,2.0,1.0,Completed,1.69,2.28
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Alexandrova E.,Diyas Z.,33,80,2.0,0.0,Completed,1.29,3.93
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Fernandez L.A.,Paolini J.,88,96,2.0,0.0,Completed,1.28,4.03
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Badosa P.,Sevastova A.,70,54,2.0,1.0,Completed,2.16,1.76
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Pera B.,Vekic D.,62,32,2.0,1.0,Completed,2.56,1.56
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Tomljanovic A.,Zhu L.,68,91,2.0,0.0,Completed,1.6,2.48
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Krejcikova B.,Loeb J.,65,255,2.0,0.0,Completed,1.14,6.72
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Flipkens K.,Siegemund L.,86,51,2.0,1.0,Completed,2.47,1.6
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Putintseva Y.,Trevisan M.,28,85,2.0,0.0,Completed,1.32,3.7
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Sakkari M.,Potapova A.,22,101,2.0,0.0,Completed,1.26,4.25
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Kudermetova V.,Kontaveit A.,46,23,2.0,0.0,Completed,2.42,1.62
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-06,WTA500,Outdoor,Hard,1st Round,Jabeur O.,Pavlyuchenkova A.,31,38,2.0,0.0,Completed,1.67,2.32
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Cornet A.,Grammatikopoulou V.,53,269,2.0,0.0,Completed,1.1,8.29
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Zvonareva V.,Hesse A.,164,289,2.0,0.0,Completed,1.19,5.2
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Gasanova A.,Barthel M.,292,229,2.0,0.0,Completed,1.95,1.93
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Svitolina E.,Pegula J.,5,63,2.0,0.0,Completed,1.46,2.91
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Watson H.,Burrage J.,58,263,2.0,1.0,Completed,1.23,4.61
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Pliskova Ka.,Papamichail D.,6,278,2.0,0.0,Completed,1.03,16.25
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Zidansek T.,Brady J.,87,24,2.0,1.0,Completed,5.11,1.2
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Gauff C.,Eikeri U.,48,260,2.0,0.0,Completed,1.04,13.96
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Muguruza G.,Mladenovic K.,15,50,2.0,0.0,Completed,1.3,3.8
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Turati B.,Shvedova Y.,318,0,2.0,0.0,Completed,1.67,2.33
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Hsieh S.W.,Vondrousova M.,67,21,2.0,1.0,Completed,3.38,1.36
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Kenin S.,Yang Zha.,4,789,2.0,0.0,Completed,1.05,12.58
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Sasnovich A.,Bondar A.,90,275,2.0,0.0,Completed,1.11,7.62
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Kostyuk M.,Hradecka L.,99,495,2.0,0.0,Completed,1.13,7.06
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Sabalenka A.,Hercog P.,10,49,2.0,0.0,Completed,1.18,5.5
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Rybakina E.,Stefanini L.,19,394,2.0,0.0,Completed,1.04,15.58
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Sorribes Tormo S.,Podoroska N.,66,47,2.0,0.0,Completed,2.22,1.72
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Wang Xiy.,Rus A.,123,74,2.0,1.0,Completed,2.8,1.49
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Bondarenko K.,Wang Y.,285,95,2.0,1.0,Completed,2.24,1.72
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-07,WTA500,Outdoor,Hard,1st Round,Muchova K.,Kovinic D.,27,77,2.0,0.0,Completed,1.21,4.97
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Sabalenka A.,Tomljanovic A.,10,68,2.0,0.0,Completed,1.16,5.97
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Badosa P.,Cornet A.,70,53,2.0,0.0,Completed,2.22,1.72
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Sorribes Tormo S.,Pera B.,66,62,2.0,1.0,Completed,1.63,2.4
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Putintseva Y.,Krejcikova B.,28,65,2.0,0.0,Completed,1.89,2.0
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Jabeur O.,Bondarenko K.,31,285,2.0,1.0,Completed,1.1,8.21
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Zidansek T.,Fernandez L.A.,87,88,2.0,0.0,Completed,3.18,1.4
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Kudermetova V.,Turati B.,46,318,2.0,0.0,Completed,1.06,11.58
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-08,WTA500,Outdoor,Hard,2nd Round,Kenin S.,Flipkens K.,4,86,0.0,1.0,Retired,1.18,5.61
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Kostyuk M.,Hsieh S.W.,99,67,2.0,1.0,Completed,1.53,2.66
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Rybakina E.,Wang Xiy.,19,123,2.0,0.0,Completed,1.23,4.69
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Gasanova A.,Pliskova Ka.,292,6,2.0,0.0,Completed,8.14,1.1
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Kasatkina D.,Muchova K.,72,27,,,Walkover,2.22,1.73
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Alexandrova E.,Watson H.,33,58,2.0,1.0,Completed,1.32,3.66
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Svitolina E.,Zvonareva V.,5,164,2.0,0.0,Completed,1.33,3.59
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Muguruza G.,Sasnovich A.,15,90,2.0,0.0,Completed,1.33,3.57
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-09,WTA500,Outdoor,Hard,2nd Round,Sakkari M.,Gauff C.,22,48,2.0,0.0,Completed,1.69,2.28
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Svitolina E.,Alexandrova E.,5,33,2.0,1.0,Completed,1.47,2.9
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Kenin S.,Putintseva Y.,4,28,2.0,1.0,Completed,1.56,2.62
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Kudermetova V.,Badosa P.,46,70,2.0,1.0,Completed,1.45,3.0
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Sakkari M.,Muguruza G.,22,15,2.0,0.0,Completed,2.05,1.86
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Rybakina E.,Kasatkina D.,19,72,2.0,0.0,Completed,1.58,2.55
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Sabalenka A.,Jabeur O.,10,31,2.0,0.0,Completed,1.52,2.74
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Kostyuk M.,Zidansek T.,99,87,2.0,0.0,Completed,1.56,2.61
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-10,WTA500,Outdoor,Hard,3rd Round,Sorribes Tormo S.,Gasanova A.,66,292,2.0,0.0,Completed,1.41,3.15
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-11,WTA500,Outdoor,Hard,Quarterfinals,Sabalenka A.,Rybakina E.,10,19,2.0,1.0,Completed,1.49,2.85
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-11,WTA500,Outdoor,Hard,Quarterfinals,Sakkari M.,Kenin S.,22,4,2.0,1.0,Completed,1.56,2.6
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-11,WTA500,Outdoor,Hard,Quarterfinals,Kostyuk M.,Sorribes Tormo S.,99,66,2.0,1.0,Completed,1.5,2.79
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-11,WTA500,Outdoor,Hard,Quarterfinals,Kudermetova V.,Svitolina E.,46,5,2.0,1.0,Completed,2.53,1.59
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-12,WTA500,Outdoor,Hard,Semifinals,Sabalenka A.,Sakkari M.,10,22,2.0,0.0,Completed,1.69,2.3
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-12,WTA500,Outdoor,Hard,Semifinals,Kudermetova V.,Kostyuk M.,46,99,2.0,0.0,Completed,1.74,2.22
1,Abu Dhabi,Abu Dhabi WTA Women's Tennis Open,2021-01-13,WTA500,Outdoor,Hard,The Final,Sabalenka A.,Kudermetova V.,10,46,2.0,0.0,Completed,1.27,4.27
3,Melbourne,Gippsland Trophy,2021-01-30,WTA500,Outdoor,Hard,1st Round,Sasnovich A.,Tsurenko L.,90,148,2.0,1.0,Completed,1.68,2.3
4,Melbourne,Yarra Valley Classic,2021-01-30,WTA500,Outdoor,Hard,1st Round,Stojanovic N.,Sherif M.,100,128,2.0,0.0,Completed,3.5,1.34
3,Melbourne,Gippsland Trophy,2021-01-30,WTA500,Outdoor,Hard,1st Round,Potapova A.,Osuigwe W.,101,163,2.0,0.0,Completed,1.55,2.6
4,Melbourne,Yarra Valley Classic,2021-01-30,WTA500,Outdoor,Hard,1st Round,Collins D.,Bonaventure Y.,46,123,2.0,0.0,Completed,1.38,3.31
4,Melbourne,Yarra Valley Classic,2021-01-30,WTA500,Outdoor,Hard,1st Round,Bolsova A.,Raina A.,103,180,2.0,0.0,Completed,1.55,2.6
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Kovinic D.,Zidansek T.,77,88,2.0,0.0,Completed,2.57,1.56
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Gracheva V.,Cabrera L.,95,140,2.0,1.0,Completed,1.63,2.4
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Kasatkina D.,Buzarnescu M.,71,138,2.0,0.0,Completed,1.28,3.99
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Garcia C.,Rodionova Ar.,44,169,2.0,0.0,Completed,1.15,6.29
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Barthel M.,Birrell K.,233,747,2.0,0.0,Completed,1.78,2.14
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Kanepi K.,Sharma A.,94,129,2.0,1.0,Completed,1.25,4.4
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Mcnally C.,Sorribes Tormo S.,122,62,2.0,1.0,Completed,,
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Pera B.,Gadecki O.,63,0,2.0,1.0,Completed,1.14,6.61
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Gavrilova D.,Kuzmova V.,452,98,2.0,0.0,Completed,1.44,3.0
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Ostapenko J.,Errani S.,45,131,2.0,1.0,Completed,1.43,3.01
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Babos T.,Tig P.M.,115,56,2.0,0.0,Completed,2.06,1.84
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Petkovic A.,Trevisan M.,102,86,2.0,1.0,Completed,1.88,2.0
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Schmiedlova A.,Savinykh V.,136,227,2.0,0.0,Completed,1.32,3.7
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Juvan K.,Wang Y.,104,96,2.0,1.0,Completed,1.5,2.76
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Begu I.,Zheng S.,79,42,2.0,1.0,Completed,1.88,2.0
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Boulter K.,Kalinskaya A.,371,114,2.0,0.0,Completed,2.84,1.48
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Hibi M.,Lepchenko V.,182,181,2.0,1.0,Completed,2.54,1.57
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Bouzkova M.,Stosur S.,52,112,2.0,0.0,Completed,1.25,4.35
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Hercog P.,Gasparyan M.,49,125,2.0,1.0,Completed,1.49,2.79
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Pegula J.,Mladenovic K.,64,50,2.0,0.0,Completed,1.6,2.47
3,Melbourne,Gippsland Trophy,2021-01-31,WTA500,Outdoor,Hard,1st Round,Paolini J.,Marino R.,97,316,2.0,0.0,Completed,2.84,1.48
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Pironkova T.,Samsonova L.,137,127,2.0,0.0,Completed,1.61,2.45
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Bogdan A.,Rakhimova K.,93,158,2.0,0.0,Completed,1.86,2.03
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Sevastova A.,Brengle M.,54,83,2.0,0.0,Completed,1.52,2.71
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Williams V.,Rus A.,80,74,2.0,0.0,Completed,2.28,1.69
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Peterson R.,Inglis M.,55,130,2.0,0.0,Completed,1.58,2.51
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Rogers S.,Ferro F.,60,43,2.0,0.0,Completed,1.96,1.93
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Lapko V.,Shvedova Y.,299,0,2.0,1.0,Completed,,
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Giorgi C.,Burel C.,76,238,2.0,0.0,Completed,1.68,2.32
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Minnen G.,Danilovic O.,110,183,2.0,0.0,Completed,1.93,1.96
4,Melbourne,Yarra Valley Classic,2021-01-31,WTA500,Outdoor,Hard,1st Round,Cocciaretto E.,Zhu L.,132,92,2.0,1.0,Completed,1.49,2.8
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Mertens E.,Hibi M.,20,182,2.0,0.0,Completed,1.08,9.83
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Halep S.,Potapova A.,2,101,2.0,0.0,Completed,1.14,6.43
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Alexandrova E.,Schmiedlova A.,33,136,2.0,1.0,Completed,1.27,4.18
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Muchova K.,Mcnally C.,27,122,2.0,0.0,Completed,1.28,4.04
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Ostapenko J.,Kovinic D.,45,77,2.0,0.0,Completed,1.45,2.96
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Svitolina E.,Petkovic A.,5,102,2.0,0.0,Completed,1.19,5.24
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,2nd Round,Paolini J.,Wang Q.,97,34,2.0,1.0,Completed,3.44,1.35
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,1st Round,Gauff C.,Teichmann J.,48,57,2.0,1.0,Completed,1.41,3.13
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,1st Round,Siegemund L.,Niculescu M.,51,145,2.0,0.0,Completed,1.4,3.11
3,Melbourne,Gippsland Trophy,2021-02-01,WTA500,Outdoor,Hard,1st Round,Aiava D.,Paquet C.,218,187,2.0,1.0,Completed,1.73,2.22
